order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
112-1079647-4647431	18806883644842	1	2019-05-10	FedEx	FedEx	454209816862	FedEx
112-2651283-6874618	55946249516106	4	2019-05-10	FedEx	FedEx	454209816851	FedEx
112-2651283-6874618	55946249516106	1	2019-05-10	FedEx	FedEx	454209816851	FedEx
112-1445515-0416252	03084197168762	1	2019-05-13	FedEx	FedEx	454209816900	FedEx
112-1445515-0416252	03084197168762	1	2019-05-13	FedEx	FedEx	454209816900	FedEx
112-1445515-0416252	03084197168762		2019-05-13	FedEx	FedEx		FedEx
113-7081807-0972266	29560046752082	1	2019-05-13	FedEx	FedEx	454209816932	FedEx
113-7081807-0972266	29560046752082	1	2019-05-13	FedEx	FedEx	454209816932	FedEx
113-7081807-0972266	29560046752082		2019-05-13	FedEx	FedEx		FedEx
112-7439376-6345847	63379411354698	1	2019-05-13	FedEx	FedEx	454209816943	FedEx
112-7439376-6345847	63379411354698	1	2019-05-13	FedEx	FedEx	454209816943	FedEx
112-7439376-6345847	63379411354698		2019-05-13	FedEx	FedEx		FedEx
112-4348164-0933029	55570489752802	1	2019-05-13	FedEx	FedEx	454209816954	FedEx
112-4348164-0933029	55570489752802	1	2019-05-13	FedEx	FedEx	454209816954	FedEx
112-4348164-0933029	55570489752802		2019-05-13	FedEx	FedEx		FedEx
111-0040607-2333868	13849715656450	1	2019-05-13	FedEx	FedEx	454209816965	FedEx
111-0040607-2333868	13849715656450	1	2019-05-13	FedEx	FedEx	454209816965	FedEx
111-0040607-2333868	13849715656450		2019-05-13	FedEx	FedEx		FedEx
113-0955541-7289851	07666662154970	1	2019-05-13	FedEx	FedEx	454209816895	FedEx
113-0955541-7289851	07666662154970	1	2019-05-13	FedEx	FedEx	454209816895	FedEx
113-0955541-7289851	07666662154970		2019-05-13	FedEx	FedEx		FedEx
114-3905565-7697045	19648293161698	1	2019-05-13	FedEx	FedEx	454209816910	FedEx
114-3905565-7697045	19648293161698	1	2019-05-13	FedEx	FedEx	454209816910	FedEx
114-3905565-7697045	19648293161698		2019-05-13	FedEx	FedEx		FedEx
113-7911515-6060256	19940049161026	1	2019-05-13	FedEx	FedEx	454209816921	FedEx
113-7911515-6060256	19940049161026	1	2019-05-13	FedEx	FedEx	454209816921	FedEx
113-7911515-6060256	19940049161026		2019-05-13	FedEx	FedEx		FedEx
113-5128008-0641058	40558991187802	1	2019-05-13	FedEx	FedEx	454209816781	FedEx
113-5128008-0641058	40558991187802	1	2019-05-13	FedEx	FedEx	454209816781	FedEx
113-5128008-0641058	40558991187802		2019-05-13	FedEx	FedEx		FedEx
112-6744217-7573832	46336681269002	1	2019-05-13	FedEx	FedEx	454209816884	FedEx
112-6744217-7573832	46336681269002	1	2019-05-13	FedEx	FedEx	454209816884	FedEx
112-6744217-7573832	46336681269002		2019-05-13	FedEx	FedEx		FedEx
113-7579529-9782644	38549712245746	1	2019-05-13	FedEx	FedEx	454209816770	FedEx
113-7579529-9782644	38549712245746	1	2019-05-13	FedEx	FedEx	454209816770	FedEx
113-7579529-9782644	38549712245746		2019-05-13	FedEx	FedEx		FedEx
112-7853542-9268238	16022742588378	1	2019-05-13	FedEx	FedEx	454209816807	FedEx
113-2586105-1122621	28327513459210	1	2019-05-13	FedEx	FedEx	454209816792	FedEx
114-8088565-7116265	55648964808746	1	2019-05-13	FedEx	FedEx	61299991276620080859	FedEx
112-4871015-4498649	14274427342346		2019-05-13	FedEx	FedEx		FedEx
112-4871015-4498649	14274427342346	1	2019-05-13	FedEx	FedEx	454209816737	FedEx
112-4871015-4498649	14274427342346	1	2019-05-13	FedEx	FedEx	454209816737	FedEx
114-4497243-9753809	67930388367306	1	2019-05-13	FedEx	FedEx	454209816726	FedEx
114-4497243-9753809	67930388367306	1	2019-05-13	FedEx	FedEx	454209816726	FedEx
114-4497243-9753809	67930388367306		2019-05-13	FedEx	FedEx		FedEx
111-3081452-5876219	04506537262738	1	2019-05-13	FedEx	FedEx	454209816760	FedEx
111-3081452-5876219	04506537262738	1	2019-05-13	FedEx	FedEx	454209816760	FedEx
111-3081452-5876219	04506537262738		2019-05-13	FedEx	FedEx		FedEx
114-4481961-9289000	67323484175290	1	2019-05-13	FedEx	FedEx	454209816715	FedEx
114-4481961-9289000	67323484175290	1	2019-05-13	FedEx	FedEx	454209816715	FedEx
114-4481961-9289000	67323484175290		2019-05-13	FedEx	FedEx		FedEx
112-2228328-6495468	09905934202490	1	2019-05-14	FedEx	FedEx	478432010955	FedEx
111-9476619-4513032	42885678196242	1	2019-05-14	FedEx	FedEx	478432010944	FedEx
114-4786927-4143442	50977126026818	1	2019-05-14	FedEx	FedEx	454209816748	FedEx
114-4786927-4143442	50977126026818	1	2019-05-14	FedEx	FedEx	454209816748	FedEx
114-4786927-4143442	50977126026818		2019-05-14	FedEx	FedEx		FedEx
114-7259393-1013819	23740634228490	1	2019-05-14	FedEx	FedEx	454209816759	FedEx
114-7259393-1013819	23740634228490	1	2019-05-14	FedEx	FedEx	454209816759	FedEx
114-7259393-1013819	23740634228490		2019-05-14	FedEx	FedEx		FedEx
112-7214923-7695421	56518928790834	1	2019-05-14	FedEx	FedEx	454209816976	FedEx
114-4924681-9356264	22261845912666	1	2019-05-14	FedEx	FedEx	478432010933	FedEx
114-7745304-1386635	44148809582834	1	2019-05-14	FedEx	FedEx	61299991276620080866	FedEx
111-4712353-7017812	47332108498218	1	2019-05-14	FedEx	FedEx	478432010922	FedEx
113-7796504-9747443	26984482993346	1	2019-05-15	FedEx	FedEx	454209816998	FedEx
113-7796504-9747443	26984482993346	1	2019-05-15	FedEx	FedEx	454209816998	FedEx
113-7796504-9747443	26984482993346		2019-05-15	FedEx	FedEx		FedEx
111-0106956-6817849	15380459166002	1	2019-05-15	FedEx	FedEx	478432010911	FedEx
111-2862953-8955416	06509078283098	1	2019-05-15	FedEx	FedEx	454209816829	FedEx
112-5514162-4356210	03720257434762	1	2019-05-15	FedEx	FedEx	454209817045	FedEx
112-5514162-4356210	03720257434762	1	2019-05-15	FedEx	FedEx	454209817045	FedEx
112-5514162-4356210	03720257434762		2019-05-15	FedEx	FedEx		FedEx
111-0625019-1722640	27500533076954	1	2019-05-15	FedEx	FedEx	454209817034	FedEx
111-0625019-1722640	27500533076954	1	2019-05-15	FedEx	FedEx	454209817034	FedEx
111-0625019-1722640	27500533076954		2019-05-15	FedEx	FedEx		FedEx
113-7391735-3353048	50614779113010	4	2019-05-15	FedEx	FedEx	454209817067	FedEx
113-7391735-3353048	50614779113010	1	2019-05-15	FedEx	FedEx	454209817067	FedEx
112-0652685-7904230	13927841860242	1	2019-05-15	FedEx	FedEx	454209817115	FedEx
112-0654471-4405815	53238284409978	1	2019-05-15	FedEx	FedEx	454209817023	FedEx
112-0654471-4405815	53238284409978	1	2019-05-15	FedEx	FedEx	454209817023	FedEx
112-0654471-4405815	53238284409978		2019-05-15	FedEx	FedEx		FedEx
114-4969012-5484248	31367383956714	4	2019-05-15	FedEx	FedEx	454209817089	FedEx
114-4969012-5484248	31367383956714	1	2019-05-15	FedEx	FedEx	454209817089	FedEx
112-9591951-7915422	45827622642474	4	2019-05-15	FedEx	FedEx	454209817090	FedEx
112-9591951-7915422	45827622642474	1	2019-05-15	FedEx	FedEx	454209817090	FedEx
113-6293425-2469016	64208638287490	4	2019-05-15	FedEx	FedEx	454209817078	FedEx
113-6293425-2469016	64208638287490	1	2019-05-15	FedEx	FedEx	454209817078	FedEx
111-6663464-9062605	11523604269146	4	2019-05-15	FedEx	FedEx	454209817056	FedEx
111-6663464-9062605	11523604269146	1	2019-05-15	FedEx	FedEx	454209817056	FedEx
114-1625376-6413850	44922124142810	1	2019-05-15	FedEx	FedEx	478432010900	FedEx
113-7962682-1841053	65266142576434	1	2019-05-15	FedEx	FedEx	454209816818	FedEx
111-9670147-6857840	34844939483970	1	2019-05-15	FedEx	FedEx	454209816873	FedEx
113-3958678-5854614	62542453953162	1	2019-05-15	FedEx	FedEx	454209817012	FedEx
113-3958678-5854614	62542453953162	1	2019-05-15	FedEx	FedEx	454209817012	FedEx
113-3958678-5854614	62542453953162		2019-05-15	FedEx	FedEx		FedEx
111-6621122-6489813	61582135409986	1	2019-05-15	FedEx	FedEx	454209816987	FedEx
111-6621122-6489813	61582135409986	1	2019-05-15	FedEx	FedEx	454209816987	FedEx
111-6621122-6489813	61582135409986		2019-05-15	FedEx	FedEx		FedEx
114-7891693-9257867	54415905382586	1	2019-05-15	FedEx	FedEx	454209817001	FedEx
114-7891693-9257867	54415905382586	1	2019-05-15	FedEx	FedEx	454209817001	FedEx
114-7891693-9257867	54415905382586		2019-05-15	FedEx	FedEx		FedEx
114-7210437-2218648	08091488538634	1	2019-05-15	FedEx	FedEx	454209816830	FedEx
