order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
113-6754488-9018629	01358270923786	1	2019-02-13	FedEx	FedEx	454209772160	FedEx
112-3685054-9457813	34446367383322	1	2019-02-13	FedEx	FedEx	478431958329	FedEx
113-9339707-9166606	21459822176114	1	2019-02-13	FedEx	FedEx	478431958340	FedEx
112-9907564-9981000	14943303190266	1	2019-02-13	FedEx	FedEx	478431958330	FedEx
111-8906403-1961014	10610793347890	1	2019-02-13	FedEx	FedEx	454209771771	FedEx
114-6482421-0483405	18854798812346	1	2019-02-13	FedEx	FedEx	454209772436	FedEx
113-9282213-5681031	28315039659714	1	2019-02-13	FedEx	FedEx	454209772090	FedEx
113-0951575-3604230	14068542033506	1	2019-02-13	FedEx	FedEx	454209772311	FedEx
114-2909957-9474645	37314895791922	1	2019-02-14	FedEx	FedEx	454209772105	FedEx
113-4472262-3601049	08862446286098	1	2019-02-14	FedEx	FedEx	454209772377	FedEx
114-8185300-6461013	08060224692962	1	2019-02-14	FedEx	FedEx	454209772333	FedEx
113-9782702-7661017	28271545141138	1	2019-02-14	FedEx	FedEx	454209771999	FedEx
113-2020887-6422606	41560936174034	1	2019-02-14	FedEx	FedEx	454209772480	FedEx
114-4777795-3998663	46688219415362	1	2019-02-14	FedEx	FedEx	454209771966	FedEx
114-1534894-9152255	05724324785274	2	2019-02-14	FedEx	FedEx		FedEx
114-3801980-0522638	34281450921490	1	2019-02-14	FedEx	FedEx	454209772035	FedEx
114-8872262-4317000	16777343827154	1	2019-02-14	FedEx	FedEx	454209772355	FedEx
112-4804159-8479467	20117328994378	1	2019-02-14	FedEx	FedEx	454209772366	FedEx
114-6824670-2210658	18735665294610	1	2019-02-14	FedEx	FedEx	454209772116	FedEx
112-0668084-5939406	16954824356186	1	2019-02-14	FedEx	FedEx	454209772002	FedEx
111-6784164-5148254	58277328651282	2	2019-02-14	FedEx	FedEx	454209772150	FedEx
114-0712708-9407426	02375941018338	1	2019-02-14	FedEx	FedEx	454209772024	FedEx
114-4172729-0090645	59942594236346	1	2019-02-14	FedEx	FedEx	454209772013	FedEx
114-5250630-7445057	26079658630674	1	2019-02-14	FedEx	FedEx	454209772127	FedEx
114-9334468-6428238	38143180793682	1	2019-02-14	FedEx	FedEx	454209771977	FedEx
114-3612722-8988237	34406876059986	1	2019-02-14	FedEx	FedEx	454209772344	FedEx
111-7669726-9324241	45887843594426	1	2019-02-14	FedEx	FedEx	454209772138	FedEx
112-9441034-5297001	62862488534426	1	2019-02-14	FedEx	FedEx	454209771955	FedEx
112-9786130-0555404	05476433877898	3	2019-02-14	FedEx	FedEx		FedEx
112-3911565-7028259	49696467361738	1	2019-02-14	FedEx	FedEx	454209771988	FedEx
113-6370703-0647419	18880700916970	1	2019-02-14	FedEx	FedEx	454209771944	FedEx
111-6828638-6021061	27039828967546	1	2019-02-14	FedEx	FedEx	454209772470	FedEx
111-9659406-3634657	21959106535386	1	2019-02-14	FedEx	FedEx	454209772079	FedEx
114-1611539-9129048	19008862116234	1	2019-02-14	FedEx	FedEx	454209772080	FedEx
113-1204188-4216234	44163834446690	1	2019-02-14	FedEx	FedEx	454209772322	FedEx
114-3159927-8750609	66700065207410	1	2019-02-14	FedEx	FedEx	454209772149	FedEx
