order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
114-9823255-3502651	19415514297194	1	2018-09-06	FedEx	FedEx	169010434526641	FedEx
111-2389875-9000260	00728264145042	1	2018-09-06	FedEx	FedEx	169010434526634	FedEx
112-2734980-4186608	63358168333978	1	2018-09-06	FedEx	FedEx	169010434526610	FedEx
114-4286216-2888234	51770238128882	1	2018-09-06	FedEx	FedEx	488197430145	FedEx
112-5000994-5730640	19647124462202	1	2018-09-06	FedEx	FedEx	169010434526603	FedEx
114-7386036-0322669	56286344034906	1	2018-09-06	FedEx	FedEx	169010434526658	FedEx
113-5238992-9745025	25215840001370	2	2018-09-05	FedEx	FedEx	169010434525835	FedEx
114-5769292-5838611	68417174167866	1	2018-09-05	FedEx	FedEx	169010434525842	FedEx
111-4465130-9551418	24885979342042	1	2018-09-05	FedEx	FedEx	169010434525873	FedEx
114-0794420-9595461	69308146603834	1	2018-09-05	FedEx	FedEx	169010434525798	FedEx
111-2168883-9741008	38855070456906	2	2018-09-05	FedEx	FedEx	169010434525828	FedEx
111-3319087-6024236	11658405071186	1	2018-09-05	FedEx	FedEx	169010434525811	FedEx
111-8953728-4910663	41914840079770	1	2018-09-05	FedEx	FedEx	169010434525859	FedEx
111-2503361-5803430	31877501225890	1	2018-09-05	FedEx	FedEx	169010434525804	FedEx
114-1394898-7841802	64239930397162	1	2018-09-05	FedEx	FedEx	169010434526627	FedEx
