order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
114-4210901-1815433	58137528891906		2019-04-30	FedEx	FedEx		FedEx
114-4210901-1815433	58137528891906	1	2019-04-30	FedEx	FedEx	454209812216	FedEx
114-4210901-1815433	58137528891906	1	2019-04-30	FedEx	FedEx	454209812216	FedEx
114-4210901-1815433	58137528891906	1	2019-04-30	FedEx	FedEx	454209812216	FedEx
114-4210901-1815433	58137528891906	1	2019-04-30	FedEx	FedEx	454209812216	FedEx
114-4210901-1815433	58137528891906	1	2019-04-30	FedEx	FedEx	454209812216	FedEx
114-4210901-1815433	58137528891906	1	2019-04-30	FedEx	FedEx	454209812216	FedEx
113-7929848-5725039	52828137259778	1	2019-04-30	FedEx	FedEx	454209812227	FedEx
113-7929848-5725039	52828137259778	1	2019-04-30	FedEx	FedEx	454209812227	FedEx
113-7929848-5725039	52828137259778	1	2019-04-30	FedEx	FedEx	454209812227	FedEx
113-7929848-5725039	52828137259778	1	2019-04-30	FedEx	FedEx	454209812227	FedEx
113-7929848-5725039	52828137259778	1	2019-04-30	FedEx	FedEx	454209812227	FedEx
113-7929848-5725039	52828137259778	1	2019-04-30	FedEx	FedEx	454209812227	FedEx
113-7929848-5725039	52828137259778	1	2019-04-30	FedEx	FedEx	454209812227	FedEx
112-6299633-3443444	18606984023306	1	2019-04-30	FedEx	FedEx	454209811665	FedEx
111-4658368-4380244	59185874607994	4	2019-04-30	FedEx	FedEx	454209811735	FedEx
111-4658368-4380244	59185874607994	1	2019-04-30	FedEx	FedEx	454209811735	FedEx
111-6277495-8966619	00142238151610	1	2019-04-30	FedEx	FedEx	454209812065	FedEx
111-6277495-8966619	00142238151610	1	2019-04-30	FedEx	FedEx	454209812065	FedEx
111-6277495-8966619	00142238151610	1	2019-04-30	FedEx	FedEx	454209812065	FedEx
111-6277495-8966619	00142238151610		2019-04-30	FedEx	FedEx		FedEx
114-1804457-8474656	62872593017402	1	2019-04-30	FedEx	FedEx	454209811676	FedEx
114-1357801-9297048	43564919369938	8	2019-04-30	FedEx	FedEx	454209811713	FedEx
114-1357801-9297048	43564919369938	2	2019-04-30	FedEx	FedEx	454209811713	FedEx
113-9881991-8774667	25251906637450	1	2019-04-30	FedEx	FedEx	454209811654	FedEx
112-7011730-0249846	19288066832130	4	2019-05-01	FedEx	FedEx	454209811724	FedEx
112-7011730-0249846	19288066832130	1	2019-05-01	FedEx	FedEx	454209811724	FedEx
111-0160863-2351426	57108602290474	4	2019-05-01	FedEx	FedEx	454209811746	FedEx
111-0160863-2351426	57108602290474	1	2019-05-01	FedEx	FedEx	454209811746	FedEx
113-8225721-5830650	08012873141850	1	2019-05-01	FedEx	FedEx	454209812098	FedEx
112-6649224-7014635	64131049286290	1	2019-05-01	FedEx	FedEx	454209811919	FedEx
114-3936749-9741032	28052735921818	1	2019-05-01	FedEx	FedEx	454209811930	FedEx
114-3936749-9741032	28052735921818	1	2019-05-01	FedEx	FedEx	454209811930	FedEx
114-3936749-9741032	28052735921818	1	2019-05-01	FedEx	FedEx	454209811930	FedEx
111-7682999-0853006	32044012415802	1	2019-05-01	FedEx	FedEx	454209811702	FedEx
112-2472157-3054620	07174091253370	1	2019-05-01	FedEx	FedEx	454209811805	FedEx
111-4170420-5995467	18473033024522	1	2019-05-01	FedEx	FedEx	454209812249	FedEx
111-4170420-5995467	18473033024522	1	2019-05-01	FedEx	FedEx	454209812249	FedEx
111-4170420-5995467	18473033024522	1	2019-05-01	FedEx	FedEx	454209812249	FedEx
111-4170420-5995467	18473033024522	1	2019-05-01	FedEx	FedEx	454209812249	FedEx
111-4170420-5995467	18473033024522	1	2019-05-01	FedEx	FedEx	454209812249	FedEx
111-4170420-5995467	18473033024522	1	2019-05-01	FedEx	FedEx	454209812249	FedEx
111-4170420-5995467	18473033024522	1	2019-05-01	FedEx	FedEx	454209812249	FedEx
113-9402182-2422656	20884596670962	1	2019-05-01	FedEx	FedEx	454209811780	FedEx
113-1334289-7483418	02462067167922	1	2019-05-01	FedEx	FedEx	454209811952	FedEx
113-1334289-7483418	02462067167922	1	2019-05-01	FedEx	FedEx	454209811952	FedEx
113-1334289-7483418	02462067167922	1	2019-05-01	FedEx	FedEx	454209811952	FedEx
114-7760349-8820237	23535689964090	1	2019-05-01	FedEx	FedEx	454209811871	FedEx
113-2394508-8181054	65767844605474	1	2019-05-01	FedEx	FedEx	454209811920	FedEx
112-1929172-8672212	25676255101378	1	2019-05-01	FedEx	FedEx	454209811687	FedEx
113-0772016-8089048	04993887650146	1	2019-05-01	FedEx	FedEx	454209812087	FedEx
113-2230534-0972213	30291635115810	1	2019-05-01	FedEx	FedEx	454209811779	FedEx
112-4393160-6867435	53106256763930	1	2019-05-01	FedEx	FedEx	454209811790	FedEx
111-4326793-2253029	56607626564874	1	2019-05-01	FedEx	FedEx	454209811941	FedEx
111-4326793-2253029	56607626564874	1	2019-05-01	FedEx	FedEx	454209811941	FedEx
111-4326793-2253029	56607626564874	1	2019-05-01	FedEx	FedEx	454209811941	FedEx
114-7419363-0721067	35927103812986	1	2019-05-01	FedEx	FedEx	454209811698	FedEx
113-0750399-2097864	34814714879826	1	2019-05-01	FedEx	FedEx	454209811882	FedEx
114-4987074-6076210	70256251410322	4	2019-05-01	FedEx	FedEx	454209811757	FedEx
114-4987074-6076210	70256251410322	1	2019-05-01	FedEx	FedEx	454209811757	FedEx
111-7693656-2544223	24779935932834	1	2019-05-01	FedEx	FedEx	454209812238	FedEx
111-7693656-2544223	24779935932834	1	2019-05-01	FedEx	FedEx	454209812238	FedEx
111-7693656-2544223	24779935932834	1	2019-05-01	FedEx	FedEx	454209812238	FedEx
111-7693656-2544223	24779935932834	1	2019-05-01	FedEx	FedEx	454209812238	FedEx
111-7693656-2544223	24779935932834	1	2019-05-01	FedEx	FedEx	454209812238	FedEx
111-7693656-2544223	24779935932834	1	2019-05-01	FedEx	FedEx	454209812238	FedEx
111-7693656-2544223	24779935932834	1	2019-05-01	FedEx	FedEx	454209812238	FedEx
112-8890987-8873059	02348169965834	1	2019-05-01	FedEx	FedEx	454209811768	FedEx
114-4588085-3621845	30945903484986	1	2019-05-01	FedEx	FedEx	454209811850	FedEx
113-3337225-9849840	54017543022850	2	2019-05-01	FedEx	FedEx	454209812076	FedEx
114-7826430-0138615	36556945210170	1	2019-04-30	FedEx	FedEx	454209811908	FedEx
113-3152687-3877846	01763197309842	1	2019-04-30	FedEx	FedEx	454209811893	FedEx
